Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,1,10.0,0.00
Query 2,0,0.0,0.00
Query 3,1,10.0,0.00
Query 4,4,40.0,-0.40
Query 5,3,30.0,1.00
Query 6,1,10.0,0.00
Query 7,0,0.0,0.00
Query 8,0,0.0,0.00
Query 9,0,0.0,0.00
Query 10,1,10.0,0.00
Query 11,2,20.0,-1.00
Query 12,1,10.0,0.00
Query 13,1,10.0,0.00
Query 14,2,20.0,1.00
Query 15,4,40.0,0.00
Query 16,1,10.0,0.00
Query 17,1,10.0,0.00
Query 18,0,0.0,0.00
Query 19,1,10.0,0.00
Query 20,1,10.0,0.00
Query 21,0,0.0,0.00
Query 22,0,0.0,0.00
Query 23,1,10.0,0.00
Query 24,1,10.0,1.00
Query 25,0,0.0,0.00
Query 26,2,20.0,1.00
Query 27,1,10.0,0.00
Query 28,0,0.0,0.00
Query 29,0,0.0,0.00
Query 30,1,10.0,0.00
Query 31,1,10.0,0.00
Query 32,1,10.0,0.00
Query 33,1,10.0,1.00
Query 34,1,10.0,0.00
Query 35,0,0.0,0.00
Query 36,0,0.0,0.00
Query 37,1,10.0,1.00
Query 38,4,40.0,0.80
Query 39,3,30.0,0.50
Query 40,2,20.0,1.00
Query 41,1,10.0,0.00
Query 42,1,10.0,0.00
Query 43,0,0.0,0.00
Query 44,1,10.0,1.00
Query 45,3,30.0,-0.50
Query 46,2,20.0,-1.00
Query 47,2,20.0,1.00
Query 48,0,0.0,0.00
Query 49,1,10.0,1.00
Query 50,3,30.0,1.00
Query 51,2,20.0,-1.00
Query 52,3,30.0,0.50
Query 53,2,20.0,1.00
Query 54,1,10.0,0.00
Query 55,2,20.0,-1.00
Query 56,1,10.0,0.00
Query 57,1,10.0,0.00
Query 58,2,20.0,1.00
Query 59,3,30.0,0.50
Query 60,1,10.0,0.00
Query 61,2,20.0,-1.00
Query 62,2,20.0,1.00
Query 63,2,20.0,1.00
Query 64,0,0.0,0.00
Query 65,0,0.0,0.00
Query 66,0,0.0,0.00
Query 67,1,10.0,0.00
Query 68,1,10.0,0.00
Query 69,0,0.0,0.00
Query 70,1,10.0,0.00
Query 71,3,30.0,1.00
Query 72,0,0.0,0.00
Query 73,2,20.0,1.00
Query 74,4,40.0,0.20
Query 75,1,10.0,0.00
Query 76,0,0.0,0.00
Query 77,0,0.0,0.00
Query 78,1,10.0,0.00
Query 79,0,0.0,0.00
Query 80,1,10.0,0.00
Query 81,0,0.0,0.00
Query 82,0,0.0,0.00
Query 83,2,20.0,1.00
Query 84,0,0.0,0.00
Query 85,0,0.0,0.00
Query 86,2,20.0,1.00
Query 87,1,10.0,0.00
Query 88,1,10.0,0.00
Query 89,2,20.0,1.00
Query 90,4,40.0,0.80
Query 91,0,0.0,0.00
Query 92,2,20.0,1.00
Query 93,0,0.0,0.00
Query 94,0,0.0,0.00
Query 95,0,0.0,0.00
Query 96,0,0.0,0.00
Query 97,2,20.0,1.00
Query 98,0,0.0,0.00
Query 99,1,10.0,0.00
Query 100,3,30.0,-0.50
Averages,1.2,11.8,0.19
